#It	w(1)	w(2)	f(w(1))	f(w(2))
1	0.6180	0.3820	-6.7238	-7.2765
2	0.3819	0.2361	-7.2765	-7.0167
3	0.4721	0.3820	-7.2167	-7.2765
4	0.3819	0.3262	-7.2765	-7.2265
5	0.4164	0.3820	-7.2747	-7.2765
6	0.3819	0.3607	-7.2765	-7.2649
7	0.3951	0.3820	-7.2788	-7.2765
8	0.4032	0.3951	-7.2784	-7.2788
9	0.3951	0.3901	-7.2788	-7.2783
10	0.3982	0.3951	-7.2788	-7.2788
11	0.4001	0.3982	-7.2787	-7.2788
12	0.3982	0.3970	-7.2788	-7.2788
13	0.3970	0.3963	-7.2788	-7.2788
14	0.3975	0.3970	-7.2788	-7.2788
15	0.3970	0.3967	-7.2788	-7.2788
